city,year,expend,income,gdp,gap,gap_to_gdp
广州,2016,1943.75,1393.64,19547.44,550.1099999999999,0.02814230405618331
广州,2017,2186.01,1536.74,21503.15,649.2700000000002,0.03019418085257277
广州,2018,2506.18,1634.22,22859.35,871.9599999999998,0.038144566665281376
广州,2019,2865.33,1699.04,23629.0,1166.29,0.04935841550636929
广州,2020,2952.65,1722.79,25019.0,1229.8600000000001,0.049157040649106684
广州,2021,3021.18,1884.26,28231.97,1136.9199999999998,0.04027065769763852
广州,2022,3022.45,1855.1,28839.0,1167.35,0.04047817191996948
广州,2023,2971.65,1945.06,30356.0,1026.5900000000001,0.033818355514560555
广州,2024,2782.5,1954.74,31032.5,827.76,0.026673970837025697
深圳,2006,571.42,500.88,5813.56,70.53999999999996,0.01213370120889781
深圳,2007,727.96,658.06,6801.57,69.90000000000009,0.010277038977765442
深圳,2008,889.86,800.36,7806.54,89.5,0.011464746225600586
深圳,2009,1000.84,880.82,8201.0,120.01999999999998,0.014634800634069014
深圳,2010,1265.27,1106.82,9581.5,158.45000000000005,0.0165370766581433
深圳,2011,1590.56,1339.57,11505.53,250.99,0.021814727352846848
深圳,2012,1565.71,1482.08,12950.1,83.63000000000011,0.0064578651902302
深圳,2013,1690.83,1731.26,14500.23,-40.430000000000064,-0.0027882316349464847
深圳,2014,2166.14,2082.44,16001.82,83.69999999999982,0.005230655012992261
深圳,2015,3521.67,2726.85,17502.86,794.8200000000002,0.04541086428160884
深圳,2016,4211.04,3136.49,19492.6,1074.5500000000002,0.05512604783353684
深圳,2017,4593.8,3332.13,22490.06,1261.67,0.05609900551621472
深圳,2018,4282.54,3538.41,24221.98,744.1300000000001,0.030721270515457453
深圳,2019,4552.73,3773.38,26927.0,779.3499999999995,0.028943068295762597
深圳,2020,4177.72,3857.39,27670.0,320.3300000000004,0.011576797976147466
深圳,2021,4570.22,4257.7,30664.85,312.52000000000044,0.010191473299233502
深圳,2022,4997.38,4012.44,32387.68,984.94,0.030410946384551163
深圳,2023,5012.07,4112.78,34606.0,899.29,0.025986534127029993
深圳,2024,4700.87,3914.18,36801.87,786.69,0.02137635940782357
